CanonicalId,OntologyType,SourceId,SourceSystem
sf5gqm2p,Image,b28089984/FILE_0093_OBJECTS,mets-image
q3b6nnac,Image,b30510296/FILE_0164_OBJECTS,mets-image
paswg9n2,Item,i21263504,sierra-system-number
qqjg2x8f,Image,b18029619/FILE_0155_OBJECTS,mets-image
majtn49w,Image,b20419776/FILE_0010_OBJECTS,mets-image
vu65yzxn,Image,b1624249x/FILE_0044_OBJECTS,mets-image
cw6rkdwu,Image,b30371260/FILE_0011_OBJECTS,mets-image
a4c5pc4k,Image,b21981504/FILE_0554_OBJECTS,mets-image
g4dtahtf,Image,b22664373/FILE_0532_OBJECTS,mets-image
d9epbqk7,Image,b21052141/FILE_0089_OBJECTS,mets-image
zv8np7fr,Image,b30347452/FILE_0071_OBJECTS,mets-image
sq92zqf2,Image,b33092059/FILE_0049_OBJECTS,mets-image
yu7fa72j,Image,b28756204/FILE_0039_OBJECTS,mets-image
zm4r3s3k,Image,b21497916/FILE_0152_OBJECTS,mets-image
tt4x68hh,Image,b28063041/FILE_0606_OBJECTS,mets-image
s6t6mk44,Image,b11477544/FILE_0092_OBJECTS,mets-image
nxdd6h92,Image,b18746214/FILE_0161_OBJECTS,mets-image
mt75xy2k,Image,b2177836x/FILE_0059_OBJECTS,mets-image
jaz69pyg,Image,b32770248/FILE_0062_OBJECTS,mets-image
adxf4r95,Work,b2987349,sierra-system-number
er58nejj,Image,V0014651,miro-image-number
gn6dkkpy,Image,b21308603/FILE_0088_OBJECTS,mets-image
efzs2nvn,Work,b1289641,sierra-system-number
kbxfs2q9,Image,b28772428/FILE_0180_OBJECTS,mets-image
bzhm2j8y,Image,b3017711x/FILE_0013_OBJECTS,mets-image
phzxtnbm,Image,b19025312/FILE_0127_OBJECTS,mets-image
fzmrupbc,Image,b18031298/FILE_0074_OBJECTS,mets-image
kq6536cp,Image,b28047795/FILE_0088_OBJECTS,mets-image
vc7ghntw,Item,i10725179,sierra-system-number
d4afx45v,Work,b17734095,sierra-system-number
zpn72526,Image,b2153021x/FILE_0028_OBJECTS,mets-image
q9397ygk,Image,b3149867x/FILE_0080_OBJECTS,mets-image
j6s6uy33,Image,b21217488/FILE_0031_OBJECTS,mets-image
dp96u8dn,Image,b24955802/FILE_0077_OBJECTS,mets-image
rs5stasq,Image,b28959954/FILE_0034_OBJECTS,mets-image
c6yzdxb8,Work,b1538929,sierra-system-number
bjc2s539,Image,b28050708/FILE_0172_OBJECTS,mets-image
q6m22vwy,Image,b18974053/FILE_0521_OBJECTS,mets-image
jv233bn5,Image,b24976489/FILE_0338_OBJECTS,mets-image
mp6xrp5x,Item,1493884,sierra-system-number
a778rc89,Image,b21703401/FILE_0998_OBJECTS,mets-image
ypctfh34,Image,b29499409/FILE_0017_OBJECTS,mets-image
swadxe6b,Image,b30409408/FILE_0235_OBJECTS,mets-image
a4hg5y4r,Image,b28130339/FILE_0314_OBJECTS,mets-image
m6cxbxzy,Image,b21516522/FILE_0440_OBJECTS,mets-image
eypynhdp,Image,b1802502x/FILE_0295_OBJECTS,mets-image
davwas9r,Image,b2171972x/FILE_0769_OBJECTS,mets-image
bab6ty7d,Image,b21481714/FILE_0006_OBJECTS,mets-image
